Age,Attrition,BusinessTravel,Department,DistanceFromHome,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Higher_Education,Date_of_Hire,Date_of_termination,Status_of_leaving,Mode_of_work,Leaves,Absenteeism,Work_accident,Source_of_Hire,Job_mode
38,No,Travel_Frequently,Research & Development,3,Male,3,1,Research Scientist,3,Married,2821,3,No,16,3,1,8,2,2,2,2,12th,2019-03-19,,Work Environment,WFH,4,1,No,Recruiter,FullTime
46,No,Travel_Rarely,Research & Development,1,Male,3,5,Research Director,4,Divorced,19627,9,No,17,3,2,23,0,2,2,2,12th,2019-05-29,,Work Accident,WFH,0,1,No,Job Event,FullTime
20,Yes,Travel_Frequently,Sales,9,Female,3,1,Sales Representative,4,Single,2323,1,Yes,14,3,0,2,3,2,0,2,PHD,2019-01-22,,Work Environment,WFH,1,2,No,Recruiter,Part Time
33,Yes,Travel_Rarely,Research & Development,25,Male,2,1,Research Scientist,2,Single,2313,4,Yes,20,4,0,5,0,2,2,2,Graduation,2019-01-05,,Dept.Head,WFH,2,1,No,Job Event,Contract
21,No,Travel_Rarely,Research & Development,1,Female,2,1,Research Scientist,2,Single,2070,1,Yes,11,3,0,2,6,2,2,2,12th,2019-05-06,,Salary,WFH,4,2,Yes,Recruiter,Contract
31,No,Travel_Frequently,Sales,20,Male,4,1,Sales Representative,4,Married,2791,0,No,12,3,1,3,4,2,2,2,12th,2019-02-21,,Work Accident,WFH,5,2,No,Job Event,FullTime
31,Yes,Travel_Frequently,Research & Development,15,Male,3,1,Laboratory Technician,3,Married,2610,1,No,12,3,1,2,5,2,2,2,Graduation,2019-05-13,,Dept.Head,WFH,3,3,No,Job Portal,FullTime
35,No,Travel_Frequently,Research & Development,4,Male,2,1,Laboratory Technician,4,Married,2376,1,No,13,3,1,2,2,2,2,2,12th,2019-03-11,,Dept.Head,WFH,5,2,No,Recruiter,FullTime
20,No,Travel_Rarely,Research & Development,3,Male,2,1,Laboratory Technician,3,Single,3033,1,No,12,3,0,2,2,2,1,2,Graduation,2019-03-31,,Salary,WFH,1,0,No,Walk-in,Contract
50,No,Travel_Frequently,Research & Development,2,Female,3,4,Manager,1,Married,17856,2,No,22,4,1,32,3,2,2,2,PHD,2019-06-18,,Salary,WFH,4,0,No,Job Portal,Part Time
20,No,Travel_Rarely,Sales,21,Male,4,1,Sales Representative,4,Single,2678,1,No,17,3,0,2,2,2,2,2,Graduation,2019-02-12,,Salary,WFH,1,1,Yes,Recruiter,Contract
32,No,Travel_Frequently,Research & Development,13,Female,2,1,Laboratory Technician,2,Married,2743,1,No,20,4,1,2,2,2,2,2,PHD,2019-01-12,,Work Accident,WFH,4,3,No,Recruiter,FullTime
21,Yes,Travel_Frequently,Research & Development,10,Female,2,1,Laboratory Technician,3,Single,2625,1,No,20,4,0,2,2,2,2,2,PHD,2019-04-12,,Better Opportunity,OFFICE,1,0,No,Walk-in,FullTime
28,No,Travel_Frequently,Research & Development,2,Male,2,1,Laboratory Technician,4,Married,3867,1,Yes,12,3,1,2,2,2,2,2,Graduation,2019-04-20,,Work Accident,OFFICE,3,0,No,Job Event,Contract
25,No,Travel_Rarely,Research & Development,1,Female,3,1,Research Scientist,2,Single,2096,1,No,18,3,0,2,3,2,2,1,PHD,2019-05-14,,Work Accident,WFH,2,2,Yes,Recruiter,FullTime
58,No,Travel_Rarely,Research & Development,23,Male,3,1,Research Scientist,3,Divorced,2372,1,No,12,3,2,2,3,2,2,2,Graduation,2019-06-25,,Better Opportunity,OFFICE,3,1,Yes,Recruiter,FullTime
35,No,Travel_Frequently,Research & Development,18,Male,3,3,Manufacturing Director,4,Single,9362,2,No,11,3,0,10,2,2,2,2,Post-Graduation,2019-06-25,,Work Accident,WFH,3,3,Yes,Recruiter,Part Time
31,Yes,Travel_Frequently,Research & Development,2,Male,3,1,Laboratory Technician,4,Married,3722,6,Yes,13,3,1,7,2,2,2,2,12th,2019-03-31,,Salary,WFH,0,0,Yes,Job Portal,FullTime
48,No,Travel_Rarely,Sales,7,Male,3,2,Sales Executive,1,Divorced,5486,4,No,11,3,3,15,3,2,2,2,Graduation,2019-04-30,,Work Environment,OFFICE,4,3,Yes,Walk-in,FullTime
34,Yes,Travel_Rarely,Human Resources,9,Female,3,1,Human Resources,3,Married,2742,1,No,15,3,0,2,0,2,2,2,PHD,2019-02-06,,Work Environment,OFFICE,0,0,No,Job Event,Contract
30,No,Travel_Rarely,Sales,16,Male,3,2,Sales Executive,3,Married,5301,8,No,15,3,2,4,2,2,2,2,Graduation,2019-06-12,,Dept.Head,OFFICE,2,3,Yes,Job Portal,FullTime
44,No,Travel_Frequently,Research & Development,2,Male,3,3,Manufacturing Director,3,Single,10209,5,Yes,18,3,0,16,2,2,2,2,Graduation,2019-04-30,,Salary,OFFICE,5,2,Yes,Recruiter,Contract
39,No,Travel_Rarely,Research & Development,6,Female,3,3,Manufacturing Director,2,Single,8376,4,No,18,3,0,9,3,2,2,2,12th,2019-02-21,,Better Opportunity,OFFICE,0,3,Yes,Job Event,FullTime
40,No,Non-Travel,Research & Development,8,Male,3,2,Healthcare Representative,4,Divorced,4069,3,Yes,18,3,0,8,2,2,2,2,Post-Graduation,2019-03-06,,Work Accident,OFFICE,4,1,No,Job Event,FullTime
33,No,Travel_Rarely,Sales,8,Male,3,2,Sales Executive,1,Married,6392,2,No,13,3,1,8,6,2,2,2,12th,2019-04-28,,Dept.Head,OFFICE,4,1,No,Walk-in,FullTime
34,No,Travel_Rarely,Research & Development,1,Male,3,2,Research Scientist,4,Married,5484,9,No,17,3,1,9,3,2,2,1,Graduation,2019-03-15,,Salary,OFFICE,0,2,Yes,Job Event,FullTime
23,No,Travel_Rarely,Research & Development,10,Male,4,1,Research Scientist,3,Married,2073,2,No,16,3,1,4,2,2,2,2,Graduation,2019-05-16,,Better Opportunity,OFFICE,0,2,No,Recruiter,FullTime
21,No,Travel_Rarely,Research & Development,5,Male,3,1,Research Scientist,4,Single,3117,1,No,18,3,0,3,2,2,2,2,Graduation,2019-01-08,,Better Opportunity,OFFICE,4,0,No,Recruiter,FullTime
48,No,Travel_Frequently,Research & Development,4,Male,2,4,Manager,4,Married,15202,2,No,25,4,1,23,3,2,2,2,Post-Graduation,2019-04-08,,Better Opportunity,WFH,0,1,No,Walk-in,FullTime
35,Yes,Travel_Rarely,Sales,15,Male,1,2,Sales Executive,4,Divorced,5440,6,Yes,14,3,2,7,2,2,2,2,Graduation,2019-05-22,,Better Opportunity,OFFICE,1,2,No,Job Event,Part Time
20,No,Travel_Rarely,Sales,2,Female,3,1,Sales Representative,3,Single,2783,1,No,19,3,0,2,3,2,2,2,12th,2019-02-08,,Dept.Head,OFFICE,1,1,No,Job Portal,Part Time
49,No,Travel_Rarely,Research & Development,16,Female,3,1,Laboratory Technician,1,Divorced,2587,4,Yes,16,3,1,17,2,2,2,2,Post-Graduation,2019-05-07,,Work Accident,WFH,5,1,No,Recruiter,Part Time
41,No,Travel_Rarely,Sales,23,Male,3,3,Sales Executive,3,Single,7082,3,Yes,16,3,0,21,2,2,0,2,12th,2019-06-24,,Work Accident,WFH,0,2,Yes,Job Portal,Contract
20,No,Travel_Rarely,Sales,9,Male,3,1,Sales Representative,1,Single,2728,1,No,11,3,0,2,3,2,0,2,Graduation,2019-06-25,,Salary,OFFICE,0,0,No,Walk-in,Contract
44,No,Travel_Rarely,Human Resources,1,Female,3,1,Human Resources,4,Divorced,3195,4,Yes,18,3,3,8,2,2,2,2,12th,2019-04-12,,Work Accident,WFH,4,3,Yes,Recruiter,FullTime
36,Yes,Travel_Rarely,Sales,13,Male,2,2,Sales Executive,1,Divorced,6134,5,Yes,13,3,3,16,3,2,2,2,PHD,2019-03-12,,Work Accident,WFH,4,0,No,Recruiter,Part Time
24,No,Travel_Frequently,Human Resources,10,Male,3,1,Human Resources,4,Married,2145,0,No,14,3,1,3,2,2,2,1,Graduation,2019-03-17,,Better Opportunity,OFFICE,2,3,No,Walk-in,FullTime
29,Yes,Travel_Rarely,Sales,9,Female,1,1,Sales Representative,2,Single,2760,1,No,13,3,0,2,3,2,2,2,12th,2019-04-14,,Dept.Head,WFH,5,1,Yes,Walk-in,Part Time
34,No,Travel_Rarely,Sales,3,Female,1,2,Sales Executive,4,Single,6029,5,No,12,3,0,6,3,2,2,2,Post-Graduation,2019-06-02,,Dept.Head,WFH,1,1,No,Recruiter,FullTime
51,No,Travel_Rarely,Research & Development,3,Female,3,3,Manager,3,Married,13116,2,No,11,3,0,15,2,2,2,2,Post-Graduation,2019-01-02,,Better Opportunity,OFFICE,1,2,Yes,Job Event,FullTime
46,No,Travel_Rarely,Research & Development,2,Male,3,5,Research Director,4,Divorced,19328,7,Yes,17,3,1,24,3,2,2,2,PHD,2019-02-19,,Work Environment,WFH,3,0,No,Recruiter,Contract
46,No,Non-Travel,Sales,26,Male,2,2,Sales Executive,2,Single,7991,8,No,15,3,0,6,3,2,2,2,Graduation,2019-04-19,,Dept.Head,OFFICE,5,0,No,Job Portal,Contract
39,No,Travel_Frequently,Sales,20,Male,3,2,Sales Executive,4,Divorced,4127,2,No,18,3,1,7,6,2,2,2,PHD,2019-03-10,,Dept.Head,WFH,2,1,No,Job Portal,Contract
58,No,Travel_Frequently,Research & Development,15,Male,3,4,Research Director,3,Married,15787,2,Yes,14,3,0,23,3,2,2,2,12th,2019-05-29,,Dept.Head,WFH,0,2,No,Walk-in,FullTime
29,Yes,Travel_Rarely,Human Resources,13,Male,2,1,Human Resources,1,Divorced,2335,4,Yes,15,3,3,4,3,2,2,0,12th,2019-04-06,,Work Accident,WFH,3,0,Yes,Job Portal,FullTime
47,No,Travel_Rarely,Research & Development,9,Female,3,1,Laboratory Technician,3,Single,2105,4,No,12,3,0,7,2,2,2,0,12th,2019-01-05,,Better Opportunity,WFH,1,1,Yes,Recruiter,Contract
32,Yes,Travel_Rarely,Sales,2,Male,2,2,Sales Executive,2,Single,9907,7,Yes,12,3,0,7,3,2,2,2,Post-Graduation,2019-03-21,,Better Opportunity,OFFICE,5,3,No,Recruiter,Part Time
39,No,Travel_Rarely,Research & Development,19,Male,3,2,Research Scientist,4,Divorced,3902,8,No,14,3,3,7,2,2,2,2,Graduation,2019-03-11,,Salary,OFFICE,1,2,Yes,Job Portal,Part Time
44,No,Travel_Rarely,Research & Development,1,Male,4,2,Healthcare Representative,1,Married,5033,2,No,15,3,1,10,5,2,2,2,PHD,2019-06-30,,Work Accident,WFH,0,2,No,Walk-in,FullTime
31,No,Travel_Rarely,Research & Development,4,Female,4,1,Laboratory Technician,3,Divorced,3978,8,No,12,3,1,4,0,2,2,2,Post-Graduation,2019-03-06,,Dept.Head,OFFICE,4,2,Yes,Recruiter,FullTime
28,Yes,Travel_Rarely,Sales,13,Female,3,2,Sales Executive,3,Single,9854,3,Yes,11,3,0,6,0,2,2,2,12th,2019-06-27,,Work Accident,OFFICE,4,2,Yes,Walk-in,Part Time
53,Yes,Travel_Rarely,Sales,24,Male,3,3,Sales Executive,1,Single,10448,6,Yes,13,3,0,15,2,2,2,2,12th,2019-05-09,,Work Environment,OFFICE,5,0,Yes,Job Portal,Contract
25,No,Travel_Rarely,Human Resources,2,Female,3,1,Human Resources,2,Married,2187,4,No,14,3,0,6,3,2,1,2,Graduation,2019-05-24,,Salary,OFFICE,3,0,No,Walk-in,Part Time
25,No,Travel_Rarely,Research & Development,2,Male,3,1,Laboratory Technician,3,Divorced,3977,6,Yes,19,3,1,7,2,2,0,2,12th,2019-06-24,,Dept.Head,WFH,2,2,Yes,Job Event,Contract
31,No,Travel_Rarely,Sales,2,Male,3,1,Sales Representative,3,Married,3067,0,No,19,3,1,3,1,2,1,2,12th,2019-01-15,,Work Accident,WFH,0,2,No,Recruiter,FullTime
35,No,Travel_Rarely,Research & Development,11,Male,3,1,Laboratory Technician,3,Married,2660,7,Yes,11,3,1,5,3,2,2,2,PHD,2019-04-05,,Work Environment,OFFICE,2,1,No,Job Portal,Part Time
32,No,Travel_Rarely,Sales,1,Male,2,1,Sales Representative,2,Married,2269,0,No,14,3,1,3,2,2,2,2,Graduation,2019-04-19,,Work Environment,WFH,3,2,No,Walk-in,Part Time
21,No,Travel_Rarely,Sales,5,Male,3,1,Sales Representative,1,Single,2380,1,Yes,11,3,0,2,6,2,1,2,12th,2019-02-02,,Work Environment,OFFICE,4,2,Yes,Recruiter,Part Time
29,Yes,Travel_Rarely,Research & Development,1,Male,3,1,Research Scientist,4,Married,4787,9,Yes,14,3,3,4,3,2,2,2,PHD,2019-05-21,,Salary,OFFICE,0,0,Yes,Recruiter,Part Time
40,No,Travel_Rarely,Research & Development,2,Male,2,1,Research Scientist,3,Single,2809,2,No,14,3,0,8,2,2,2,2,PHD,2019-06-23,,Work Environment,OFFICE,4,2,Yes,Walk-in,Part Time
38,No,Travel_Rarely,Research & Development,2,Male,3,1,Research Scientist,4,Single,3944,5,Yes,11,3,0,6,3,3,1,2,Post-Graduation,2018-05-17,,Work Accident,OFFICE,3,1,Yes,Job Event,Part Time
50,Yes,Travel_Rarely,Sales,3,Male,2,1,Sales Representative,3,Married,2683,1,Yes,14,3,0,3,2,3,0,2,PHD,2018-01-17,,Better Opportunity,WFH,3,0,Yes,Walk-in,Contract
35,No,Travel_Frequently,Research & Development,1,Male,3,1,Research Scientist,1,Married,2194,4,No,13,3,1,5,2,3,1,2,Graduation,2018-01-02,,Work Accident,WFH,2,3,Yes,Recruiter,FullTime
24,No,Travel_Rarely,Sales,3,Female,3,2,Sales Executive,3,Married,4999,0,No,21,4,1,4,2,3,0,2,Graduation,2018-04-27,,Dept.Head,OFFICE,1,1,No,Recruiter,FullTime
44,No,Non-Travel,Research & Development,23,Male,3,2,Laboratory Technician,2,Married,2042,4,No,12,3,1,17,3,3,1,2,Graduation,2018-03-23,,Dept.Head,WFH,5,0,Yes,Job Event,FullTime
37,Yes,Travel_Rarely,Human Resources,6,Male,3,1,Human Resources,1,Divorced,2073,4,Yes,22,4,0,7,3,3,0,2,PHD,2018-02-18,,Work Environment,WFH,1,0,Yes,Job Portal,FullTime
59,No,Non-Travel,Human Resources,2,Female,2,5,Manager,4,Married,18844,9,No,21,4,1,30,3,3,2,2,12th,2018-06-02,,Dept.Head,OFFICE,4,2,No,Job Portal,Part Time
43,No,Travel_Frequently,Research & Development,28,Female,4,1,Research Scientist,3,Single,4739,4,No,12,3,0,18,2,3,1,2,Post-Graduation,2018-02-13,,Better Opportunity,OFFICE,2,2,No,Job Portal,FullTime
36,No,Travel_Rarely,Research & Development,6,Male,3,2,Manufacturing Director,2,Divorced,4941,6,No,20,4,2,7,0,3,0,1,Graduation,2018-06-18,,Better Opportunity,OFFICE,0,2,No,Job Event,FullTime
38,No,Travel_Rarely,Research & Development,3,Female,3,2,Research Scientist,3,Single,4317,3,Yes,20,4,0,19,2,3,2,2,12th,2018-04-24,,Salary,WFH,5,0,Yes,Job Event,FullTime
30,No,Travel_Rarely,Research & Development,5,Female,3,1,Research Scientist,1,Divorced,3204,5,No,14,3,1,8,3,3,2,2,12th,2018-05-25,,Dept.Head,OFFICE,0,2,No,Walk-in,FullTime
33,No,Travel_Rarely,Research & Development,2,Male,3,1,Research Scientist,4,Single,2500,0,No,14,3,0,4,2,3,0,2,Graduation,2018-01-04,,Work Accident,OFFICE,0,0,No,Recruiter,Contract
34,No,Travel_Rarely,Research & Development,27,Female,3,1,Research Scientist,2,Single,2311,2,No,15,3,0,9,3,3,1,2,PHD,2018-01-24,,Salary,OFFICE,5,3,No,Job Portal,FullTime
50,No,Travel_Rarely,Research & Development,1,Male,2,1,Laboratory Technician,3,Married,3690,2,No,15,3,1,5,2,3,0,2,12th,2018-02-08,,Dept.Head,WFH,5,2,Yes,Recruiter,Part Time
40,No,Non-Travel,Research & Development,9,Male,2,2,Healthcare Representative,4,Married,4876,9,No,14,3,1,5,5,3,0,2,12th,2018-03-07,,Salary,OFFICE,3,1,Yes,Job Event,FullTime
33,No,Travel_Rarely,Research & Development,4,Female,2,1,Research Scientist,2,Married,2622,6,No,21,4,0,7,3,3,1,1,Post-Graduation,2018-04-05,,Dept.Head,WFH,1,1,Yes,Recruiter,Contract
32,Yes,Travel_Rarely,Research & Development,1,Male,2,1,Laboratory Technician,3,Single,3730,0,Yes,14,3,0,4,2,3,1,2,PHD,2018-02-21,,Work Environment,OFFICE,0,1,Yes,Job Event,FullTime
39,No,Travel_Rarely,Research & Development,1,Female,3,1,Laboratory Technician,3,Divorced,2232,7,No,14,3,3,7,1,3,1,2,PHD,2018-03-25,,Work Environment,OFFICE,5,2,Yes,Recruiter,Contract
32,No,Non-Travel,Sales,26,Male,3,2,Sales Executive,4,Married,4465,0,No,18,3,0,4,2,3,2,2,Post-Graduation,2018-04-12,,Salary,OFFICE,3,1,No,Job Portal,Part Time
37,No,Travel_Rarely,Research & Development,1,Female,2,1,Research Scientist,1,Married,3920,2,No,14,3,1,17,2,3,0,2,PHD,2018-06-26,,Work Environment,WFH,5,1,Yes,Recruiter,Part Time
45,No,Travel_Frequently,Research & Development,7,Male,4,2,Manufacturing Director,3,Married,6434,4,No,17,3,1,9,1,3,0,2,Post-Graduation,2018-04-17,,Dept.Head,OFFICE,1,3,No,Job Event,FullTime
42,No,Travel_Rarely,Research & Development,17,Female,4,2,Research Scientist,1,Single,6545,3,Yes,13,3,0,10,1,3,0,2,Post-Graduation,2018-04-15,,Work Environment,OFFICE,3,1,No,Recruiter,Contract
29,No,Travel_Rarely,Sales,20,Male,3,2,Sales Executive,4,Divorced,6931,2,No,14,3,1,10,2,3,0,2,Graduation,2018-04-27,,Work Environment,OFFICE,4,2,Yes,Recruiter,Contract
21,No,Travel_Rarely,Research & Development,3,Male,2,1,Research Scientist,3,Single,3230,1,No,17,3,0,3,4,3,1,0,Graduation,2018-03-20,,Dept.Head,WFH,2,0,No,Job Portal,Part Time
26,Yes,Travel_Rarely,Research & Development,16,Male,3,1,Laboratory Technician,2,Divorced,2373,2,Yes,13,3,1,5,2,3,0,2,12th,2018-05-10,,Salary,OFFICE,2,2,Yes,Walk-in,Contract
49,No,Travel_Frequently,Research & Development,10,Female,3,5,Research Director,1,Single,18665,9,Yes,11,3,0,22,4,3,1,2,Graduation,2018-02-24,,Dept.Head,WFH,3,2,No,Walk-in,FullTime
28,Yes,Travel_Rarely,Research & Development,2,Male,1,1,Research Scientist,4,Married,3464,5,Yes,13,3,0,5,4,3,2,2,12th,2018-05-20,,Salary,OFFICE,2,3,Yes,Recruiter,FullTime
47,No,Travel_Rarely,Research & Development,5,Male,3,5,Research Director,3,Married,18300,4,No,11,3,1,21,2,3,1,1,12th,2018-06-23,,Work Accident,WFH,1,2,No,Walk-in,FullTime
29,No,Travel_Rarely,Research & Development,9,Male,2,1,Laboratory Technician,4,Single,3983,0,No,17,3,0,4,2,3,2,2,PHD,2018-06-23,,Dept.Head,WFH,1,0,Yes,Job Event,Part Time
42,No,Travel_Rarely,Human Resources,2,Male,3,1,Human Resources,3,Divorced,2696,0,Yes,11,3,1,4,5,3,1,0,Graduation,2018-01-09,,Work Accident,OFFICE,4,2,No,Job Event,Contract
21,Yes,Travel_Frequently,Sales,1,Female,2,1,Sales Representative,2,Single,2174,1,Yes,11,3,0,3,3,3,1,2,PHD,2018-03-26,,Work Environment,WFH,3,1,No,Job Event,Part Time
57,No,Travel_Rarely,Research & Development,1,Male,3,2,Healthcare Representative,3,Married,6755,2,No,11,3,0,15,2,3,1,2,Graduation,2018-02-04,,Work Accident,WFH,4,1,Yes,Job Event,Contract
21,No,Non-Travel,Sales,9,Male,3,1,Sales Representative,4,Single,2610,1,No,24,4,0,3,3,3,2,2,Graduation,2018-05-01,,Dept.Head,OFFICE,3,2,No,Job Portal,Contract
29,No,Travel_Rarely,Research & Development,23,Male,3,1,Research Scientist,4,Single,2201,9,No,16,3,0,6,4,3,1,2,Post-Graduation,2018-02-13,,Dept.Head,WFH,3,0,Yes,Recruiter,FullTime
34,No,Non-Travel,Sales,4,Female,3,2,Sales Executive,3,Married,6538,9,No,15,3,1,6,3,3,1,2,PHD,2018-05-03,,Work Accident,OFFICE,4,2,Yes,Job Event,Contract
43,No,Travel_Frequently,Research & Development,21,Male,3,1,Laboratory Technician,4,Married,2258,7,No,20,4,1,8,1,3,1,2,Post-Graduation,2018-04-20,,Dept.Head,WFH,3,1,No,Job Portal,Contract
26,No,Travel_Rarely,Research & Development,23,Female,3,1,Research Scientist,4,Divorced,2886,1,No,22,4,2,3,3,3,0,2,PHD,2018-06-07,,Salary,OFFICE,2,2,No,Recruiter,Contract
46,No,Travel_Rarely,Research & Development,2,Male,3,4,Research Director,3,Married,17861,6,No,13,3,0,26,2,3,0,1,Post-Graduation,2018-03-23,,Better Opportunity,WFH,2,0,No,Recruiter,Contract
46,No,Travel_Rarely,Sales,10,Female,2,3,Sales Executive,4,Married,9071,2,Yes,19,3,1,15,3,3,1,2,12th,2018-03-10,,Work Accident,WFH,0,1,Yes,Walk-in,Contract
30,No,Travel_Rarely,Sales,7,Male,3,1,Sales Representative,2,Single,2983,0,No,14,3,0,4,3,3,1,2,Post-Graduation,2018-06-01,,Dept.Head,OFFICE,2,0,No,Walk-in,Contract
34,Yes,Travel_Frequently,Human Resources,23,Female,3,3,Human Resources,1,Divorced,9950,9,Yes,15,3,3,11,2,3,0,2,PHD,2018-02-08,,Work Accident,WFH,0,2,No,Job Portal,FullTime
29,No,Travel_Rarely,Research & Development,19,Male,3,2,Manufacturing Director,4,Divorced,4262,4,No,12,3,2,8,2,3,1,2,Graduation,2018-05-04,,Dept.Head,OFFICE,2,3,No,Job Event,Contract
31,Yes,Travel_Rarely,Sales,13,Male,3,2,Sales Executive,1,Divorced,4233,2,No,17,3,0,9,2,3,1,2,12th,2018-05-16,,Dept.Head,WFH,4,2,No,Recruiter,Contract
35,No,Travel_Rarely,Research & Development,25,Male,2,2,Laboratory Technician,4,Single,3681,4,No,14,3,0,9,3,3,0,2,Post-Graduation,2018-01-06,,Dept.Head,OFFICE,2,1,No,Job Event,Part Time
37,No,Travel_Rarely,Sales,2,Male,3,2,Sales Executive,3,Married,9602,4,Yes,11,3,1,17,3,3,1,0,12th,2018-04-02,,Work Environment,OFFICE,4,0,Yes,Job Portal,FullTime
48,No,Travel_Rarely,Research & Development,1,Female,2,4,Manager,1,Married,15402,7,No,11,3,1,21,3,3,0,2,12th,2018-02-22,,Work Accident,WFH,4,1,Yes,Recruiter,Part Time
21,No,Travel_Rarely,Sales,22,Male,3,1,Sales Representative,3,Single,3447,1,No,11,3,0,3,2,3,1,2,12th,2018-03-27,,Work Environment,WFH,4,0,Yes,Recruiter,Contract
26,No,Travel_Rarely,Research & Development,6,Female,3,1,Laboratory Technician,4,Married,2659,1,Yes,13,3,1,3,2,3,0,2,PHD,2018-03-06,,Better Opportunity,OFFICE,5,2,No,Job Portal,FullTime
36,No,Travel_Rarely,Research & Development,9,Male,2,2,Manufacturing Director,2,Divorced,8847,2,Yes,11,3,1,13,2,3,0,2,Graduation,2018-01-07,,Better Opportunity,OFFICE,5,2,No,Walk-in,FullTime
23,No,Travel_Rarely,Research & Development,4,Male,4,1,Research Scientist,1,Married,2819,2,No,16,3,1,5,3,3,0,2,PHD,2018-05-05,,Work Environment,OFFICE,5,1,No,Walk-in,Part Time
25,No,Travel_Rarely,Sales,8,Male,4,2,Sales Executive,2,Married,4851,0,No,22,4,1,4,4,3,1,2,12th,2018-02-08,,Better Opportunity,WFH,1,0,No,Job Portal,FullTime
35,No,Travel_Rarely,Sales,8,Female,3,1,Sales Representative,4,Married,2572,1,No,16,3,1,3,1,3,0,2,Post-Graduation,2018-05-29,,Better Opportunity,WFH,1,1,Yes,Job Portal,Part Time
34,No,Travel_Rarely,Sales,8,Female,3,2,Sales Executive,1,Married,6500,5,No,17,3,1,6,1,3,1,2,Post-Graduation,2018-05-01,,Work Environment,OFFICE,3,2,Yes,Recruiter,Part Time
33,Yes,Travel_Rarely,Sales,16,Female,3,2,Sales Executive,1,Single,5324,5,No,15,3,0,6,3,3,0,2,Post-Graduation,2018-02-23,,Work Accident,OFFICE,1,3,No,Job Portal,Contract
34,No,Travel_Rarely,Human Resources,3,Male,3,1,Human Resources,4,Married,3737,0,No,19,3,1,4,1,3,0,2,Post-Graduation,2018-04-14,,Salary,WFH,0,1,No,Job Event,FullTime
44,No,Travel_Rarely,Research & Development,8,Male,4,1,Laboratory Technician,4,Married,2818,2,Yes,24,4,1,10,2,3,0,2,12th,2018-01-24,,Work Accident,WFH,4,2,No,Recruiter,FullTime
32,No,Non-Travel,Research & Development,1,Male,3,1,Laboratory Technician,4,Divorced,2314,0,No,12,3,1,4,2,3,0,2,PHD,2018-01-08,,Work Accident,OFFICE,1,2,Yes,Job Portal,FullTime
29,Yes,Travel_Rarely,Sales,1,Female,2,1,Sales Representative,3,Divorced,2800,6,Yes,19,3,3,5,3,3,0,2,PHD,2018-01-03,,Work Accident,OFFICE,1,2,No,Job Portal,FullTime
47,No,Travel_Rarely,Sales,2,Female,2,1,Sales Representative,4,Single,3294,1,Yes,18,3,0,3,3,3,1,2,Post-Graduation,2018-04-28,,Better Opportunity,WFH,0,2,Yes,Job Portal,Part Time
22,Yes,Travel_Rarely,Research & Development,3,Female,3,2,Manufacturing Director,3,Married,4171,0,Yes,19,3,1,4,3,3,0,2,Post-Graduation,2018-04-11,,Dept.Head,OFFICE,5,2,No,Recruiter,Contract
33,No,Travel_Rarely,Research & Development,1,Male,2,1,Research Scientist,1,Single,2799,3,Yes,11,3,0,6,1,3,0,2,PHD,2018-01-22,,Work Environment,OFFICE,4,3,Yes,Recruiter,Part Time
32,No,Non-Travel,Research & Development,1,Female,2,1,Laboratory Technician,2,Married,2332,6,No,20,4,0,5,3,3,0,2,Post-Graduation,2018-04-09,,Salary,WFH,3,3,Yes,Recruiter,Part Time
29,No,Travel_Frequently,Sales,20,Female,3,1,Sales Representative,4,Married,2157,1,No,15,3,1,3,5,3,0,2,PHD,2018-05-16,,Salary,WFH,3,1,Yes,Recruiter,Part Time
31,Yes,Non-Travel,Research & Development,9,Male,2,1,Research Scientist,1,Single,2321,0,Yes,22,4,0,4,0,3,1,2,PHD,2018-04-27,,Dept.Head,OFFICE,1,1,Yes,Recruiter,FullTime
33,No,Travel_Rarely,Research & Development,13,Female,3,1,Research Scientist,4,Single,3452,3,No,18,3,0,5,4,3,0,2,Post-Graduation,2018-03-01,,Work Environment,OFFICE,5,2,No,Job Portal,FullTime
30,Yes,Travel_Frequently,Research & Development,5,Female,3,1,Laboratory Technician,2,Single,2422,0,No,17,3,0,4,3,3,1,2,Post-Graduation,2018-03-07,,Dept.Head,OFFICE,1,1,Yes,Walk-in,Part Time
27,No,Travel_Rarely,Research & Development,2,Female,3,2,Manufacturing Director,4,Married,4227,0,No,18,3,1,4,2,3,2,2,Graduation,2018-03-09,,Work Environment,OFFICE,5,2,No,Job Portal,FullTime
35,No,Travel_Rarely,Research & Development,10,Male,3,1,Laboratory Technician,4,Divorced,3917,1,No,20,4,1,3,4,3,1,2,PHD,2018-02-08,,Better Opportunity,WFH,2,0,Yes,Job Portal,Part Time
26,Yes,Travel_Frequently,Research & Development,2,Male,3,1,Research Scientist,1,Married,2042,6,Yes,14,3,1,6,2,3,1,2,12th,2018-03-02,,Salary,OFFICE,5,3,Yes,Walk-in,Contract
27,No,Non-Travel,Research & Development,8,Male,1,1,Laboratory Technician,3,Married,4621,1,No,19,3,3,3,4,3,1,2,12th,2018-06-17,,Better Opportunity,WFH,0,0,No,Job Portal,FullTime
